Datetime,Water Level (m)
2024-05-10 12:00:00,-0.0014357548
2024-05-10 13:00:00,-0.0019165674
2024-05-10 14:00:00,-0.0032825593
2024-05-10 15:00:00,-0.0030996618
2024-05-10 16:00:00,-0.0030153063
2024-05-10 17:00:00,-0.0026085884
2024-05-10 18:00:00,-0.0017682781
2024-05-10 19:00:00,-0.0014334741
2024-05-10 20:00:00,-0.0009894491
2024-05-10 21:00:00,-0.0007587015
2024-05-10 22:00:00,-0.0008947628
2024-05-10 23:00:00,-0.0013589596
2024-05-11 00:00:00,-0.0018772274
2024-05-11 01:00:00,-0.0028296243
2024-05-11 02:00:00,-0.0040555582
2024-05-11 03:00:00,-0.0044058003
2024-05-11 04:00:00,-0.0038233441
2024-05-11 05:00:00,-0.003209798
2024-05-11 06:00:00,-0.0026467987
2024-05-11 07:00:00,-0.0022586298
2024-05-11 08:00:00,-0.0022489212
2024-05-11 09:00:00,-0.0026857231
2024-05-11 10:00:00,0.00036376104
2024-05-11 11:00:00,0.0009914283
2024-05-11 12:00:00,-0.0043230774
2024-05-11 13:00:00,-0.0031750118
2024-05-11 14:00:00,-0.00054568576
2024-05-11 15:00:00,-0.0011583992
2024-05-11 16:00:00,-0.0028131988
2024-05-11 17:00:00,-0.0026329246
2024-05-11 18:00:00,-0.0018290156
2024-05-11 19:00:00,-0.00177167
2024-05-11 20:00:00,-0.0009237981
2024-05-11 21:00:00,-0.0010707575
2024-05-11 22:00:00,-0.0006564268
2024-05-11 23:00:00,-0.00053362583
2024-05-12 00:00:00,-0.0014506861
2024-05-12 01:00:00,-0.0015667342
2024-05-12 02:00:00,-0.0018177256
2024-05-12 03:00:00,-0.0021456392
2024-05-12 04:00:00,-0.0024089448
2024-05-12 05:00:00,-0.0026808996
2024-05-12 06:00:00,-0.0030397675
2024-05-12 07:00:00,-0.0032246269
2024-05-12 08:00:00,-0.0027916764
2024-05-12 09:00:00,-0.0020831688
2024-05-12 10:00:00,-0.0025570174
2024-05-12 11:00:00,-0.0015577545
2024-05-12 12:00:00,-0.0032862166
2024-05-12 13:00:00,-0.0037605613
2024-05-12 14:00:00,0.00058057695
2024-05-12 15:00:00,0.0026178
2024-05-12 16:00:00,0.0071438844
2024-05-12 17:00:00,0.015696736
2024-05-12 18:00:00,0.024653494
2024-05-12 19:00:00,0.033004697
2024-05-12 20:00:00,0.04034286
2024-05-12 21:00:00,0.04694396
2024-05-12 22:00:00,0.053018328
2024-05-12 23:00:00,0.05829684
2024-05-13 00:00:00,0.06288804
2024-05-13 01:00:00,0.06667908
2024-05-13 02:00:00,0.0704447
2024-05-13 03:00:00,0.074492685
2024-05-13 04:00:00,0.08066335
2024-05-13 05:00:00,0.08754949
2024-05-13 06:00:00,0.094821736
2024-05-13 07:00:00,0.102814615
2024-05-13 08:00:00,0.1119964
2024-05-13 09:00:00,0.11787099
2024-05-13 10:00:00,0.122837074
2024-05-13 11:00:00,0.12703033
2024-05-13 12:00:00,0.13016295
2024-05-13 13:00:00,0.13272393
2024-05-13 14:00:00,0.13506354
2024-05-13 15:00:00,0.13725857
2024-05-13 16:00:00,0.139922
2024-05-13 17:00:00,0.14353363
2024-05-13 18:00:00,0.148386
2024-05-13 19:00:00,0.15384126
2024-05-13 20:00:00,0.15874967
2024-05-13 21:00:00,0.16366957
2024-05-13 22:00:00,0.1682205
2024-05-13 23:00:00,0.17181763
2024-05-14 00:00:00,0.17417079
2024-05-14 01:00:00,0.17489797
2024-05-14 02:00:00,0.17542796
2024-05-14 03:00:00,0.17722587
2024-05-14 04:00:00,0.17987011
2024-05-14 05:00:00,0.18289882
2024-05-14 06:00:00,0.18615349
2024-05-14 07:00:00,0.18923505
2024-05-14 08:00:00,0.19203648
2024-05-14 09:00:00,0.19430882
2024-05-14 10:00:00,0.19718933
2024-05-14 11:00:00,0.20013496
2024-05-14 12:00:00,0.20125306
2024-05-14 13:00:00,0.20257945
2024-05-14 14:00:00,0.20751405
2024-05-14 15:00:00,0.21114029
2024-05-14 16:00:00,0.21184133
2024-05-14 17:00:00,0.21297161
2024-05-14 18:00:00,0.21592554
2024-05-14 19:00:00,0.22004683
2024-05-14 20:00:00,0.22336546
2024-05-14 21:00:00,0.22604133
2024-05-14 22:00:00,0.22903515
2024-05-14 23:00:00,0.23164111
2024-05-15 00:00:00,0.23314397
2024-05-15 01:00:00,0.23309557
2024-05-15 02:00:00,0.23364308
2024-05-15 03:00:00,0.23516555
2024-05-15 04:00:00,0.23631367
2024-05-15 05:00:00,0.23798154
2024-05-15 06:00:00,0.24039239
2024-05-15 07:00:00,0.24278182
2024-05-15 08:00:00,0.24507545
2024-05-15 09:00:00,0.24679922
2024-05-15 10:00:00,0.24759908
2024-05-15 11:00:00,0.24698566
2024-05-15 12:00:00,0.24557151
2024-05-15 13:00:00,0.24457078
2024-05-15 14:00:00,0.24367048
2024-05-15 15:00:00,0.24333581
2024-05-15 16:00:00,0.24575275
2024-05-15 17:00:00,0.2493721
2024-05-15 18:00:00,0.2518407
2024-05-15 19:00:00,0.25527972
2024-05-15 20:00:00,0.2594911
2024-05-15 21:00:00,0.26290712
2024-05-15 22:00:00,0.26561165
2024-05-15 23:00:00,0.26773483
2024-05-16 00:00:00,0.26980168
2024-05-16 01:00:00,0.27033067
2024-05-16 02:00:00,0.27041662
2024-05-16 03:00:00,0.2720405
2024-05-16 04:00:00,0.2744722
2024-05-16 05:00:00,0.276561
2024-05-16 06:00:00,0.27841145
2024-05-16 07:00:00,0.27993965
2024-05-16 08:00:00,0.28114405
2024-05-16 09:00:00,0.2818436
2024-05-16 10:00:00,0.2816419
2024-05-16 11:00:00,0.28107634
2024-05-16 12:00:00,0.2805499
